"qr_url","line1","line2"
"https://db.sheboyganlights.org/scan/DISP/847","CH-Angel3D-03",""
"https://db.sheboyganlights.org/scan/DISP/858","CH-Angel3D-04",""
"https://db.sheboyganlights.org/scan/DISP/323","CH-RGBTree-Base",""
"https://db.sheboyganlights.org/scan/DISP/313","CH-RGBTree-Spreaders",""
"https://db.sheboyganlights.org/scan/DISP/901","SW-PotterPole",""
"https://db.sheboyganlights.org/scan/DISP/902","SW-PotterPoleBase",""
"https://db.sheboyganlights.org/scan/DISP/61","WW-FlickPole",""
"https://db.sheboyganlights.org/scan/DISP/616","HW-WaitTime","-30Min0Min"
"https://db.sheboyganlights.org/scan/DISP/980","QV-Bright-01",""
"https://db.sheboyganlights.org/scan/DISP/977","QV-Making-01",""
"https://db.sheboyganlights.org/scan/DISP/296","QV-SHRTrain-01",""
"https://db.sheboyganlights.org/scan/DISP/293","QV-SHRTrain-02",""
"https://db.sheboyganlights.org/scan/DISP/304","QV-SHRTrain-03",""
"https://db.sheboyganlights.org/scan/DISP/983","QV-Spirits-01",""
"https://db.sheboyganlights.org/scan/DISP/291","QV-StationSign",""
"https://db.sheboyganlights.org/scan/DISP/976","WA-WelcomeTo-01",""
"https://db.sheboyganlights.org/scan/DISP/125","TR-MegaTreeRGBTree",""
"https://db.sheboyganlights.org/scan/DISP/662","FC-CarCounter-DS",""
"https://db.sheboyganlights.org/scan/DISP/747","FC-CarCounter-PS",""
"https://db.sheboyganlights.org/scan/DISP/861","CH-Steeple-LH-Base",""
"https://db.sheboyganlights.org/scan/DISP/853","CH-Steeple-LH-Mid",""
"https://db.sheboyganlights.org/scan/DISP/860","CH-Steeple-LH-Top",""
"https://db.sheboyganlights.org/scan/DISP/839","CH-NativityStar",""
